RecruitPostName,Responsibility,LastUpdateTime
后台开发工程师,"1.设计与实现图像/文本/语音海量大数据数据仓库建设；
2.用图像数据及挖掘模型驱动数据运营各个环节的作业效率；
3.参与部门级私有化机器学习平台产品的数据模块后端开发。",2023年11月25日
后台开发工程师,"1.负责游戏人生推荐系统后台设计、开发与维护工作，提升服务稳定性和可扩展性；
2.负责王者人生赛事系统迭代开发与架构优化，完善平台与基础能力建设；
3.完备的系统可观测和多场景复用能力，持续提升研效。",2023年11月24日
后台开发工程师,"1.参与平台后台系统的设计与开发；
2.参与支付、搜索、广告、推荐以及其他业务系统的工程研发与优化；
3.负责日常版本需求的开发迭代，推动方案落地与联调；
4.负责日常后台性能优化和可用性提升改造。",2023年11月23日
后台开发工程师,"1.负责腾讯云数据库管控平台开发以及运营；
2.负责数据库运维平台的核心架构、算法设计和优化，保证产品稳定性。致力于资源调度、性能调优、故障自愈等领域的自动化和智能化；
3.跟进数据库领域前沿技术的应用预研。",2023年11月23日
后台开发工程师,"1.负责亿级产品的架构设计和开发工作，为用户提供优质的信息服务和极致体验；
2.负责重点技术难题和项目攻关，协调内外部资源，有落地拿结果能力；
3.负责新技术调研和问题的持续发现，并与业务相结合独立立项，不断提升业务指标。",2023年11月22日
腾讯会议Windows开发岗位,"1.负责腾讯云会议Windows客户端相关业务需求开发；
2.负责视频会议业务开发；
3.负责视频会议稳定性及性能优化；
4.负责视频会议客户反馈问题跟进及效率工具开发。",2023年11月16日
腾讯会议Windows开发岗位,"1.负责腾讯云会议Windows客户端相关业务需求开发；
2.负责视频会议业务开发；
3.负责视频会议稳定性及性能优化；
4.负责视频会议客户反馈问题跟进及效率工具开发。",2023年11月16日
腾讯健康医药后台开发,"1.负责腾讯医药的后台开发与运营工作；
2.负责后台架构的优化与重构；
3.保障后台系统的稳定运营、安全可靠；
4.注：此岗位为腾讯集团旗下子公司编制岗位。",2023年11月15日
腾讯健康医药前端开发,"1.负责腾讯医药的web项目及小程序开发；
2.参与产品需求分析，进行web应用功能结构设计与开发；
3.持续优化web项目架构，提升性能，安全及可用性；
4.注：此岗位为腾讯集团旗下子公司编制岗位。",2023年11月15日
运营开发工程师,"1.负责腾讯计费相关运营系统建设，包括但不限于业务运营系统、数据分析平台、效率工具等；
2.持续完善基础组件与框架，提升系统开发效率，更好支持业务迭代。",2023年11月13日
后台开发工程师,"1.1、负责端服务中台相关技术产品的后台开发与运营相关工作，打造业界领先的面向端技术产品；；
2.2、负责端服务中台各系统的方案评审、需求分析、架构设计、开发、Code Review、灰度、发布上线等相关工作；；
3.3、参与产品讨论和开发实现，承担重点、难点的技术攻坚；；
4.4、参与研发模式变革和提升研发效能等工作。。",2023年11月13日
后台开发工程师,"1.负责开发Ai处理器和CPU架构性能模型，进行架构探索、瓶颈分析和性能评估；
2.根据模型仿真结果分析影响系统性能的关键点并给出优化思路；
3.负责开发虚拟原型平台功能模型，支撑软件驱动及算法提前开发部署，有效缩短芯片产品开发周期；
4.基于Ai业务和CPU Benchmark构建处理器测试向量；
5.负责ESL平台的搭建及维护；
6.与芯片设计、芯片验证和软件团队协同工作，支撑微架构优化，芯片验证，软件性能调优。",2023年11月11日
