数据更新日期,标题,煤炭种类,当日价格,当日涨幅
2023/6/30 17:25,2023年6月30日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,836,6
2023/6/29 17:25,2023年6月29日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,830,7
2023/6/28 17:25,2023年6月28日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,823,9
2023/6/27 17:26,2023年6月27日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,814,-3
2023/6/26 17:26,2023年6月26日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,817,-16
2023/6/25 17:36,2023年6月25日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,833,-5
2023/6/21 17:32,2023年6月21日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,838,3
2023/6/20 17:25,2023年6月20日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,835,15
2023/6/19 17:33,2023年6月19日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,820,12
2023/6/16 17:34,2023年6月16日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,808,13
2023/6/15 17:28,2023年6月15日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,795,20
2023/6/14 17:25,2023年6月14日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,775,8
2023/6/13 17:26,2023年6月13日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,767,-11
2023/6/12 17:29,2023年6月12日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,778,-5
2023/6/9 17:31,2023年6月9日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,783,-14
2023/6/8 17:26,2023年6月8日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,797,-5
2023/6/7 17:25,2023年6月7日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,802,5
2023/6/6 17:26,2023年6月6日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,797,19
2023/6/5 17:26,2023年6月5日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,778,15
2023/6/2 17:26,2023年6月2日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,763,-14
2023/6/1 17:26,2023年6月1日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,777,-20
2023/5/31 17:26,2023年5月31日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,797,-30
2023/5/30 17:26,2023年5月30日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,827,-18
2023/5/29 17:25,2023年5月29日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,845,-23
2023/5/26 17:36,2023年5月26日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,868,-27
2023/5/25 17:26,2023年5月25日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,895,-47
2023/5/24 17:33,2023年5月24日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,942,-18
2023/5/23 17:37,2023年5月23日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,960,-10
2023/5/22 17:26,2023年5月22日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,970,-5
2023/5/19 17:27,2023年5月19日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,975,-5
2023/5/18 17:25,2023年5月18日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,980,-2
2023/5/17 17:29,2023年5月17日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,982,0
2023/5/16 17:32,2023年5月16日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,982,4
2023/5/15 17:23,2023年5月15日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,978,-2
2023/5/12 17:26,2023年5月12日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,980,-3
2023/5/11 17:30,2023年5月11日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,983,-2
2023/5/10 17:25,2023年5月10日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,985,-5
2023/5/9 17:25,2023年5月09日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,990,-5
2023/5/8 17:26,2023年5月08日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,995,-12
2023/5/6 17:27,2023年5月06日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1007,-6
2023/5/5 17:25,2023年5月05日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1013,0
2023/5/4 17:33,2023年5月04日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1013,6
2023/4/28 17:32,2023年4月28日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1007,2
2023/4/27 17:25,2023年4月27日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1005,12
2023/4/26 17:26,2023年4月26日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,993,1
2023/4/25 17:25,2023年4月25日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,992,-3
2023/4/24 17:32,2023年4月24日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,995,-14
2023/4/23 17:28,2023年4月23日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1009,-11
2023/4/21 17:26,2023年4月21日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1020,-3
2023/4/20 17:31,2023年4月20日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1023,-7
2023/4/19 17:26,2023年4月19日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1030,0
2023/4/18 17:26,2023年4月18日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1030,17
2023/4/17 17:26,2023年4月17日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1013,8
2023/4/14 17:26,2023年4月14日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1005,2
2023/4/13 17:25,2023年4月13日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1003,-7
2023/4/12 17:40,2023年4月12日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1010,-13
2023/4/11 17:26,2023年4月11日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1023,-4
2023/4/10 17:25,2023年4月10日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1027,-30
2023/4/7 17:29,2023年4月7日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1057,-10
2023/4/6 17:26,2023年4月06日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1067,-8
2023/4/4 17:26,2023年4月04日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1075,-5
2023/4/3 17:26,2023年4月03日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1080,-8
2023/3/31 17:26,2023年3月31日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1088,-3
2023/3/30 17:27,2023年3月30日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1091,1
2023/3/29 17:30,2023年3月29日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1090,0
2023/3/28 17:27,2023年3月28日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1090,0
2023/3/27 17:25,2023年3月27日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1090,-13
2023/3/24 17:26,2023年3月24日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1103,-7
2023/3/23 17:34,2023年3月23日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1110,-3
2023/3/22 17:28,2023年3月22日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1113,0
2023/3/21 17:25,2023年3月21日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1113,-5
2023/3/20 17:26,2023年3月20日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1118,-15
2023/3/17 17:28,2023年3月17日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1133,-8
2023/3/16 17:29,2023年3月16日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1141,2
2023/3/15 17:30,2023年3月15日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1139,1
2023/3/14 17:25,2023年3月14日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1138,2
2023/3/13 17:28,2023年3月13日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1136,6
2023/3/10 17:31,2023年3月10日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1130,-16
2023/3/9 17:25,2023年3月09日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1146,8
2023/3/8 17:28,2023年3月08日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1138,13
2023/3/7 17:26,2023年3月07日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1125,12
2023/3/6 17:25,2023年3月06日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1113,-6
2023/3/3 17:30,2023年3月03日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1119,-39
2023/3/2 17:26,2023年3月02日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1158,-32
2023/3/1 17:30,2023年3月01日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1190,-23
2023/2/28 17:25,2023年2月28日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1213,-10
2023/2/27 17:27,2023年2月27日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1223,28
2023/2/24 17:31,2023年2月24日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1195,39
2023/2/23 17:26,2023年2月23日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1156,53
2023/2/22 17:26,2023年2月22日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1103,34
2023/2/21 17:29,2023年2月21日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1069,35
2023/2/20 17:24,2023年2月20日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1034,14
2023/2/17 17:26,2023年2月17日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1020,6
2023/2/16 17:27,2023年2月16日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1014,11
2023/2/15 17:25,2023年2月15日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1003,1
2023/2/14 17:29,2023年2月14日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1002,12
2023/2/13 17:27,2023年2月13日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,990,-27
2023/2/10 17:26,2023年2月10日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1017,-46
2023/2/9 17:28,2023年2月9日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1063,-31
2023/2/8 17:33,2023年2月8日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1094,-25
2023/2/7 17:26,2023年2月7日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1119,-14
2023/2/6 17:26,2023年2月6日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1133,-22
2023/2/3 17:30,2023年2月3日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1155,-5
2023/2/2 17:25,2023年2月2日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1160,-20
2023/2/1 17:28,2023年2月1日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1180,-7
2023/1/31 17:25,2023年1月31日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1187,-10
2023/1/30 17:31,2023年1月30日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1197,-6
2023/1/29 17:29,2023年1月29日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1203,-15
2023/1/28 17:27,2023年1月28日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1218,0
2023/1/20 17:26,2023年1月20日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1218,0
2023/1/19 17:25,2023年1月19日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1218,0
2023/1/18 17:29,2023年1月18日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1218,0
2023/1/17 17:31,2023年1月17日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1218,0
2023/1/16 17:25,2023年1月16日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1218,-2
2023/1/13 17:26,2023年1月13日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1220,-8
2023/1/12 17:35,2023年1月12日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1228,6
2023/1/12 17:33,2023年1月11日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1222,6
2023/1/10 17:27,2023年1月10日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1216,7
2023/1/9 17:28,2023年1月9日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1209,14
2023/1/6 17:35,2023年1月6日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1195,3
2023/1/5 17:27,2023年1月5日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1192,0
2023/1/4 17:28,2023年1月4日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1192,-10
2023/1/3 17:26,2023年1月3日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1202,-8
2022/12/30 17:25,2022年12月30日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1210,-11
2022/12/29 17:30,2022年12月29日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1221,-4
2022/12/28 17:25,2022年12月28日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1225,-22
2022/12/27 17:27,2022年12月27日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1247,-7
2022/12/26 17:27,2022年12月26日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1254,-28
2022/12/25 10:51,2022年12月23日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1282,-17
